fixture_id,pair_id,slot0_agent_id,slot1_agent_id,seed,episodes,slot0_wins,slot1_wins,draws,slot0_win_rate,slot1_win_rate,draw_rate,slot0_avg_reward,slot1_avg_reward,avg_reward_margin_slot0,avg_episode_length,video_path
sp_fixed__vs__tp_fixed_a0__leg0,sp_fixed__vs__tp_fixed_a0,sp_fixed,tp_fixed_a0,901,50,26,6,18,0.52,0.12,0.36,1955.1689383151333,-1141.6111043914843,3096.780042706618,356.86,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_fixed_a0__slot0_sp_fixed__slot1_tp_fixed_a0__seed901.mp4
sp_fixed__vs__tp_fixed_a0__leg1,sp_fixed__vs__tp_fixed_a0,tp_fixed_a0,sp_fixed,902,50,29,12,9,0.58,0.24,0.18,2141.0484692748696,-930.2180581156786,3071.266527390548,291.6,
sp_fixed__vs__tp_fixed_a1__leg0,sp_fixed__vs__tp_fixed_a1,sp_fixed,tp_fixed_a1,903,50,44,2,4,0.88,0.04,0.08,2991.716871522771,-1410.9804693916512,4402.697340914422,268.48,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_fixed_a1__slot0_sp_fixed__slot1_tp_fixed_a1__seed903.mp4
sp_fixed__vs__tp_fixed_a1__leg1,sp_fixed__vs__tp_fixed_a1,tp_fixed_a1,sp_fixed,904,50,10,21,19,0.2,0.42,0.38,24.692432426859472,226.1395264704962,-201.44709404363675,362.68,
sp_fixed__vs__sp_morph__leg0,sp_fixed__vs__sp_morph,sp_fixed,sp_morph,905,50,24,9,17,0.48,0.18,0.34,2046.6442053300257,-945.0728794332333,2991.717084763259,339.22,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__sp_morph__slot0_sp_fixed__slot1_sp_morph__seed905.mp4
sp_fixed__vs__sp_morph__leg1,sp_fixed__vs__sp_morph,sp_morph,sp_fixed,906,50,37,6,7,0.74,0.12,0.14,2675.3821033602962,-1560.8852408522653,4236.2673442125615,252.58,
sp_fixed__vs__tp_morph_a0__leg0,sp_fixed__vs__tp_morph_a0,sp_fixed,tp_morph_a0,907,50,20,9,21,0.4,0.18,0.42,1839.9760624302844,-941.7921614028311,2781.7682238331167,369.72,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_a0__slot0_sp_fixed__slot1_tp_morph_a0__seed907.mp4
sp_fixed__vs__tp_morph_a0__leg1,sp_fixed__vs__tp_morph_a0,tp_morph_a0,sp_fixed,908,50,33,6,11,0.66,0.12,0.22,2849.4032236270073,-1485.9048903868108,4335.308114013818,298.26,
sp_fixed__vs__tp_morph_a1__leg0,sp_fixed__vs__tp_morph_a1,sp_fixed,tp_morph_a1,909,50,6,13,31,0.12,0.26,0.62,-48.49665070485521,145.97221560446908,-194.46886630932428,394.54,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_a1__slot0_sp_fixed__slot1_tp_morph_a1__seed909.mp4
sp_fixed__vs__tp_morph_a1__leg1,sp_fixed__vs__tp_morph_a1,tp_morph_a1,sp_fixed,910,50,9,10,31,0.18,0.2,0.62,-692.6556379592984,-365.37431222291366,-327.2813257363845,410.0,
sp_fixed__vs__tp_mixed_a0_morph__leg0,sp_fixed__vs__tp_mixed_a0_morph,sp_fixed,tp_mixed_a0_morph,911,50,11,6,33,0.22,0.12,0.66,1602.9908300550271,-1037.6353793475544,2640.6262094025815,441.26,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_mixed_a0_morph__slot0_sp_fixed__slot1_tp_mixed_a0_morph__seed911.mp4
sp_fixed__vs__tp_mixed_a0_morph__leg1,sp_fixed__vs__tp_mixed_a0_morph,tp_mixed_a0_morph,sp_fixed,912,50,36,1,13,0.72,0.02,0.26,2779.249077534925,-1869.2564591426897,4648.505536677615,278.46,
sp_fixed__vs__tp_mixed_a1_fixed__leg0,sp_fixed__vs__tp_mixed_a1_fixed,sp_fixed,tp_mixed_a1_fixed,913,50,7,7,36,0.14,0.14,0.72,172.17542389036177,-329.01368296555074,501.18910685591254,454.26,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_mixed_a1_fixed__slot0_sp_fixed__slot1_tp_mixed_a1_fixed__seed913.mp4
sp_fixed__vs__tp_mixed_a1_fixed__leg1,sp_fixed__vs__tp_mixed_a1_fixed,tp_mixed_a1_fixed,sp_fixed,914,50,6,9,35,0.12,0.18,0.7,-264.3288548466307,-377.0527640171498,112.72390917051912,425.3,
sp_fixed__vs__tp_morph_delay200_a0__leg0,sp_fixed__vs__tp_morph_delay200_a0,sp_fixed,tp_morph_delay200_a0,915,50,30,7,13,0.6,0.14,0.26,2297.0269157753614,-1018.9700775710537,3315.996993346415,294.86,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_delay200_a0__slot0_sp_fixed__slot1_tp_morph_delay200_a0__seed915.mp4
sp_fixed__vs__tp_morph_delay200_a0__leg1,sp_fixed__vs__tp_morph_delay200_a0,tp_morph_delay200_a0,sp_fixed,916,50,16,22,12,0.32,0.44,0.24,807.0078771436304,-33.21196750560634,840.2198446492367,292.24,
sp_fixed__vs__tp_morph_delay200_a1__leg0,sp_fixed__vs__tp_morph_delay200_a1,sp_fixed,tp_morph_delay200_a1,917,50,34,6,10,0.68,0.12,0.2,2158.3428794824895,-982.0716975836197,3140.414577066109,293.54,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_delay200_a1__slot0_sp_fixed__slot1_tp_morph_delay200_a1__seed917.mp4
sp_fixed__vs__tp_morph_delay200_a1__leg1,sp_fixed__vs__tp_morph_delay200_a1,tp_morph_delay200_a1,sp_fixed,918,50,7,22,21,0.14,0.44,0.42,-253.29257738236902,545.9661520782244,-799.2587294605933,347.5,
tp_fixed_a0__vs__tp_fixed_a1__leg0,tp_fixed_a0__vs__tp_fixed_a1,tp_fixed_a0,tp_fixed_a1,919,50,42,5,3,0.84,0.1,0.06,2622.163176502584,-1302.5551906090068,3924.7183671115913,235.82,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_fixed_a1__slot0_tp_fixed_a0__slot1_tp_fixed_a1__seed919.mp4
tp_fixed_a0__vs__tp_fixed_a1__leg1,tp_fixed_a0__vs__tp_fixed_a1,tp_fixed_a1,tp_fixed_a0,920,50,8,28,14,0.16,0.56,0.28,-433.78175852038976,679.1725830331765,-1112.9543415535663,309.28,
tp_fixed_a0__vs__sp_morph__leg0,tp_fixed_a0__vs__sp_morph,tp_fixed_a0,sp_morph,921,50,28,8,14,0.56,0.16,0.28,2132.7950497374045,-1032.8277474960457,3165.6227972334514,340.62,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__sp_morph__slot0_tp_fixed_a0__slot1_sp_morph__seed921.mp4
tp_fixed_a0__vs__sp_morph__leg1,tp_fixed_a0__vs__sp_morph,sp_morph,tp_fixed_a0,922,50,39,4,7,0.78,0.08,0.14,2914.812397613076,-1709.7530836013582,4624.565481214435,300.3,
tp_fixed_a0__vs__tp_morph_a0__leg0,tp_fixed_a0__vs__tp_morph_a0,tp_fixed_a0,tp_morph_a0,923,50,16,11,23,0.32,0.22,0.46,1544.797204884035,-831.6145159749904,2376.411720859025,371.68,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a0__slot0_tp_fixed_a0__slot1_tp_morph_a0__seed923.mp4
tp_fixed_a0__vs__tp_morph_a0__leg1,tp_fixed_a0__vs__tp_morph_a0,tp_morph_a0,tp_fixed_a0,924,50,33,5,12,0.66,0.1,0.24,2776.4697899785574,-1549.2564454300925,4325.726235408651,281.16,
tp_fixed_a0__vs__tp_morph_a1__leg0,tp_fixed_a0__vs__tp_morph_a1,tp_fixed_a0,tp_morph_a1,925,50,10,22,18,0.2,0.44,0.36,165.49492849952446,859.3089919876985,-693.814063488174,315.88,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_morph_a1__slot0_tp_fixed_a0__slot1_tp_morph_a1__seed925.mp4
tp_fixed_a0__vs__tp_morph_a1__leg1,tp_fixed_a0__vs__tp_morph_a1,tp_morph_a1,tp_fixed_a0,926,50,18,2,30,0.36,0.04,0.6,231.3174489738646,-970.0102067817566,1201.327655755621,380.08,
tp_fixed_a0__vs__tp_mixed_a0_morph__leg0,tp_fixed_a0__vs__tp_mixed_a0_morph,tp_fixed_a0,tp_mixed_a0_morph,927,50,13,15,22,0.26,0.3,0.44,1171.3153698424685,-678.9692010057114,1850.2845708481798,377.68,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_mixed_a0_morph__slot0_tp_fixed_a0__slot1_tp_mixed_a0_morph__seed927.mp4
tp_fixed_a0__vs__tp_mixed_a0_morph__leg1,tp_fixed_a0__vs__tp_mixed_a0_morph,tp_mixed_a0_morph,tp_fixed_a0,928,50,38,3,9,0.76,0.06,0.18,2874.3517322673874,-1688.76773003083,4563.119462298218,276.12,
tp_fixed_a0__vs__tp_mixed_a1_fixed__leg0,tp_fixed_a0__vs__tp_mixed_a1_fixed,tp_fixed_a0,tp_mixed_a1_fixed,929,50,8,12,30,0.16,0.24,0.6,185.1214067350515,-289.1177334485146,474.2391401835663,405.38,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/tp_fixed_a0__vs__tp_mixed_a1_fixed__slot0_tp_fixed_a0__slot1_tp_mixed_a1_fixed__seed929.mp4
