rank,agent_id,display_name,points,points_per_episode,episodes,wins,draws,losses,win_rate,draw_rate,loss_rate,avg_reward,std_reward,avg_reward_margin,avg_episode_length,agent0_win_rate,agent1_win_rate,left_win_rate,right_win_rate
1,tp_mixed_a0_morph,Mixed two-player agent0 morphology optimized,1949.0,2.1655555555555557,900,395,369,136,0.4388888888888889,0.41,0.1511111111111111,881.0619381868933,2266.923825664986,1214.79956279953,349.16,0.6244444444444445,0.25333333333333335,0.4458874458874459,0.4315068493150685
2,tp_morph_a0,Two-player optimized morphology agent0,1885.0,2.0944444444444446,900,388,333,179,0.4311111111111111,0.37,0.1988888888888889,968.2679351115663,2291.940580737087,1212.0279421143864,337.29333333333335,0.6066666666666667,0.25555555555555554,0.4267241379310345,0.43577981651376146
3,sp_morph,Self-play optimized morphology,1841.0,2.0455555555555556,900,393,269,238,0.43666666666666665,0.29888888888888887,0.2644444444444444,964.1044128152193,2472.6900597459735,972.5175091175824,326.2611111111111,0.6311111111111111,0.24222222222222223,0.39555555555555555,0.4777777777777778
4,tp_morph_a1,Two-player optimized morphology agent1,1767.0,1.9633333333333334,900,332,439,129,0.3688888888888889,0.48777777777777775,0.14333333333333334,349.8582305468648,2022.5326622441119,609.7338978278877,369.62,0.3333333333333333,0.40444444444444444,0.34606741573033706,0.3912087912087912
5,sp_fixed,Self-play fixed morphology,1585.0,1.761111111111111,900,311,341,248,0.34555555555555556,0.3788888888888889,0.27555555555555555,509.2081923556783,2304.372738929684,375.578699205857,342.85333333333335,0.4488888888888889,0.24222222222222223,0.33410672853828305,0.35607675906183367
6,tp_mixed_a1_fixed,Mixed two-player agent1 fixed morphology,1532.0,1.7022222222222223,900,270,452,178,0.3,0.5022222222222222,0.19777777777777777,190.98410676088346,1955.4536052372132,302.68372742409747,380.28333333333336,0.3022222222222222,0.29777777777777775,0.3333333333333333,0.26881720430107525
7,tp_fixed_a0,Two-player fixed morphology agent0,1521.0,1.69,900,312,273,315,0.3466666666666667,0.30333333333333334,0.35,408.0270902258273,2311.4443486364867,85.89042425286755,316.53,0.4955555555555556,0.19777777777777777,0.36830357142857145,0.3252212389380531
8,tp_morph_delay200_a1,Two-player delayed morphology start200 agent1,1080.0,1.2,900,207,252,441,0.23,0.28,0.49,-230.93040593812506,1934.396759506138,-1222.926237412491,314.9011111111111,0.2577777777777778,0.20222222222222222,0.21603563474387527,0.24390243902439024
9,tp_morph_delay200_a0,Two-player delayed morphology start200 agent0,1065.0,1.1833333333333333,900,210,225,465,0.23333333333333334,0.25,0.5166666666666667,-139.12129111144878,2091.552714910807,-1116.8562144577836,295.02555555555557,0.3244444444444444,0.14222222222222222,0.24434389140271492,0.22270742358078602
10,tp_fixed_a1,Two-player fixed morphology agent1,663.0,0.7366666666666667,900,126,159,615,0.14,0.17666666666666667,0.6833333333333333,-782.083426638315,1683.4907817046221,-2433.4493108719325,279.7388888888889,0.1688888888888889,0.1111111111111111,0.14135021097046413,0.13849765258215962
