pair_id,agent_a_id,agent_b_id,episodes,agent_a_wins,agent_b_wins,draws,agent_a_losses,agent_b_losses,agent_a_points,agent_b_points,agent_a_win_rate,agent_b_win_rate,draw_rate,agent_a_avg_reward,agent_b_avg_reward,agent_a_avg_reward_margin,avg_episode_length,fixture_ids,video_paths
sp_fixed__vs__sp_morph,sp_fixed,sp_morph,100,30,46,24,46,30,144.0,208.0,0.3,0.46,0.24,242.87948223888014,865.1546119635315,-622.2751297246514,295.9,sp_fixed__vs__sp_morph__leg0|sp_fixed__vs__sp_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__sp_morph__slot0_sp_fixed__slot1_sp_morph__seed905.mp4
sp_fixed__vs__tp_fixed_a0,sp_fixed,tp_fixed_a0,100,38,35,27,35,38,179.0,167.0,0.38,0.35,0.27,512.4754400997276,499.7186824416926,12.756757658034886,324.23,sp_fixed__vs__tp_fixed_a0__leg0|sp_fixed__vs__tp_fixed_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_fixed_a0__slot0_sp_fixed__slot1_tp_fixed_a0__seed901.mp4
sp_fixed__vs__tp_fixed_a1,sp_fixed,tp_fixed_a1,100,65,12,23,12,65,283.0,71.0,0.65,0.12,0.23,1608.9281989966337,-693.1440184823957,2302.0722174790294,315.58,sp_fixed__vs__tp_fixed_a1__leg0|sp_fixed__vs__tp_fixed_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_fixed_a1__slot0_sp_fixed__slot1_tp_fixed_a1__seed903.mp4
sp_fixed__vs__tp_mixed_a0_morph,sp_fixed,tp_mixed_a0_morph,100,12,42,46,42,12,94.0,214.0,0.12,0.42,0.46,-133.13281454383133,870.8068490936856,-1003.9396636375169,359.86,sp_fixed__vs__tp_mixed_a0_morph__leg0|sp_fixed__vs__tp_mixed_a0_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_mixed_a0_morph__slot0_sp_fixed__slot1_tp_mixed_a0_morph__seed911.mp4
sp_fixed__vs__tp_mixed_a1_fixed,sp_fixed,tp_mixed_a1_fixed,100,16,13,71,13,16,135.0,123.0,0.16,0.13,0.71,-102.43867006339404,-296.67126890609075,194.2325988426967,439.78,sp_fixed__vs__tp_mixed_a1_fixed__leg0|sp_fixed__vs__tp_mixed_a1_fixed__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_mixed_a1_fixed__slot0_sp_fixed__slot1_tp_mixed_a1_fixed__seed913.mp4
sp_fixed__vs__tp_morph_a0,sp_fixed,tp_morph_a0,100,26,42,32,42,26,136.0,200.0,0.26,0.42,0.32,177.03558602173686,953.805531112088,-776.7699450903509,333.99,sp_fixed__vs__tp_morph_a0__leg0|sp_fixed__vs__tp_morph_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_a0__slot0_sp_fixed__slot1_tp_morph_a0__seed907.mp4
sp_fixed__vs__tp_morph_a1,sp_fixed,tp_morph_a1,100,16,22,62,22,16,126.0,150.0,0.16,0.22,0.62,-206.9354814638844,-273.3417111774146,66.40622971353002,402.27,sp_fixed__vs__tp_morph_a1__leg0|sp_fixed__vs__tp_morph_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_a1__slot0_sp_fixed__slot1_tp_morph_a1__seed909.mp4
sp_fixed__vs__tp_morph_delay200_a0,sp_fixed,tp_morph_delay200_a0,100,52,23,25,23,52,233.0,117.0,0.52,0.23,0.25,1131.9074741348775,-105.98110021371171,1237.888574348589,293.55,sp_fixed__vs__tp_morph_delay200_a0__leg0|sp_fixed__vs__tp_morph_delay200_a0__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_delay200_a0__slot0_sp_fixed__slot1_tp_morph_delay200_a0__seed915.mp4
sp_fixed__vs__tp_morph_delay200_a1,sp_fixed,tp_morph_delay200_a1,100,56,13,31,13,56,255.0,83.0,0.56,0.13,0.31,1352.1545157803569,-617.6821374829942,1969.8366532633515,320.52,sp_fixed__vs__tp_morph_delay200_a1__leg0|sp_fixed__vs__tp_morph_delay200_a1__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_fixed__vs__tp_morph_delay200_a1__slot0_sp_fixed__slot1_tp_morph_delay200_a1__seed917.mp4
sp_morph__vs__tp_mixed_a0_morph,sp_morph,tp_mixed_a0_morph,100,30,32,38,32,30,158.0,166.0,0.3,0.32,0.38,619.6264009541627,367.6380827614203,251.98831819274258,346.85,sp_morph__vs__tp_mixed_a0_morph__leg0|sp_morph__vs__tp_mixed_a0_morph__leg1,reports/league/formal_best10_full_ep50_allpairs_color_video_seed901/videos/sp_morph__vs__tp_mixed_a0_morph__slot0_sp_morph__slot1_tp_mixed_a0_morph__seed953.mp4
