fixture_id,pair_id,slot0_agent_id,slot1_agent_id,seed,episodes,slot0_wins,slot1_wins,draws,slot0_win_rate,slot1_win_rate,draw_rate,slot0_avg_reward,slot1_avg_reward,avg_reward_margin_slot0,avg_episode_length,video_path
sp_fixed__vs__tp_fixed_a0__leg0,sp_fixed__vs__tp_fixed_a0,sp_fixed,tp_fixed_a0,901,50,31,5,14,0.62,0.1,0.28,2158.9468948017316,-1366.663867689394,3525.6107624911256,294.12,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_fixed_a0__slot0_sp_fixed__slot1_tp_fixed_a0__seed901.mp4
sp_fixed__vs__tp_fixed_a0__leg1,sp_fixed__vs__tp_fixed_a0,tp_fixed_a0,sp_fixed,902,50,23,15,12,0.46,0.3,0.24,1752.6005462067365,-598.0272077754695,2350.627753982206,305.04,
sp_fixed__vs__tp_fixed_a1__leg0,sp_fixed__vs__tp_fixed_a1,sp_fixed,tp_fixed_a1,903,50,42,5,3,0.84,0.1,0.06,2729.0849030162,-1235.0586583372847,3964.143561353485,260.26,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_fixed_a1__slot0_sp_fixed__slot1_tp_fixed_a1__seed903.mp4
sp_fixed__vs__tp_fixed_a1__leg1,sp_fixed__vs__tp_fixed_a1,tp_fixed_a1,sp_fixed,904,50,6,31,13,0.12,0.62,0.26,-472.3180082258688,964.9401103498737,-1437.2581185757424,315.68,
sp_fixed__vs__sp_morph__leg0,sp_fixed__vs__sp_morph,sp_fixed,sp_morph,905,50,24,7,19,0.48,0.14,0.38,1998.8300635636717,-980.1925195344675,2979.02258309814,342.96,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__sp_morph__slot0_sp_fixed__slot1_sp_morph__seed905.mp4
sp_fixed__vs__sp_morph__leg1,sp_fixed__vs__sp_morph,sp_morph,sp_fixed,906,50,39,9,2,0.78,0.18,0.04,2703.4367885656407,-1360.531582135119,4063.96837070076,239.74,
sp_fixed__vs__tp_morph_a0__leg0,sp_fixed__vs__tp_morph_a0,sp_fixed,tp_morph_a0,907,50,19,9,22,0.38,0.18,0.44,1676.1663683495565,-1058.3681343776066,2734.5345027271633,367.54,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_morph_a0__slot0_sp_fixed__slot1_tp_morph_a0__seed907.mp4
sp_fixed__vs__tp_morph_a0__leg1,sp_fixed__vs__tp_morph_a0,tp_morph_a0,sp_fixed,908,50,32,9,9,0.64,0.18,0.18,2607.4391797197222,-1238.668002435098,3846.1071821548203,271.8,
sp_fixed__vs__tp_morph_a1__leg0,sp_fixed__vs__tp_morph_a1,sp_fixed,tp_morph_a1,909,50,8,8,34,0.16,0.16,0.68,417.49954149873105,-256.34029072262115,673.8398322213523,440.8,reports/league/formal_best_full_ep50_allpairs_video_seed901/videos/sp_fixed__vs__tp_morph_a1__slot0_sp_fixed__slot1_tp_morph_a1__seed909.mp4
sp_fixed__vs__tp_morph_a1__leg1,sp_fixed__vs__tp_morph_a1,tp_morph_a1,sp_fixed,910,50,11,5,34,0.22,0.1,0.68,-358.68508153660696,-585.6569373498859,226.97185581327903,404.4,
